Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
28,24,7,2,23,27
5,23,7,2,6,28
6,22,7,2,7,29
7,21,7,2,6,28
8,20,7,2,7,27
9,19,7,2,8,28
8,20,7,2,9,27
9,19,7,2,10,28
10,18,7,2,11,27
11,17,7,2,10,28
12,16,7,2,11,29
11,17,7,2,12,28
12,16,7,2,13,27
11,17,7,2,14,26
12,16,7,2,13,27
13,15,7,2,14,26
12,16,7,2,13,27
13,15,7,2,14,26
12,16,7,2,15,27
13,17,7,2,16,26
14,18,7,2,15,27
15,19,7,2,14,28
16,18,7,2,15,27
15,19,7,2,16,28
16,18,7,2,17,27
17,17,7,2,16,28
16,18,7,2,17,29
17,19,7,2,16,28
16,20,7,2,17,27
17,19,7,2,16,28
18,20,7,2,17,29
19,19,7,2,18,28
18,20,7,2,19,27
19,21,7,2,18,28
18,22,7,2,17,29
19,23,7,2,17,29
20,24,7,2,16,28
19,25,7,2,15,29
20,24,7,2,14,28
19,25,7,2,15,27
18,26,7,2,14,28
19,25,7,2,13,29
18,26,7,2,12,28
19,25,7,2,13,27
20,26,7,2,14,28
19,27,7,2,13,29
18,28,7,2,14,28
19,27,7,2,15,29
20,28,7,2,16,28
21,29,7,2,15,29
20,28,7,2,15,29
21,27,7,2,16,28
22,28,7,2,17,27
23,29,7,2,16,28
23,29,7,2,17,29
22,28,7,2,18,28
23,27,7,2,17,29
24,28,7,2,16,28
25,29,7,2,17,27
26,28,7,2,16,28
27,27,7,2,17,29
26,28,7,2,16,28
25,29,7,2,17,29
25,29,7,2,16,28
24,28,7,2,15,29
25,27,7,2,15,29
24,28,7,2,14,28
23,29,7,2,15,27
22,28,7,2,16,26
23,29,7,2,17,27
23,29,7,2,18,26
24,28,7,2,17,27
25,29,7,2,18,28
26,28,7,2,19,27
27,27,7,2,20,26
28,28,7,2,21,27
27,29,7,2,22,26
28,28,7,2,23,27
27,29,7,2,24,28
28,28,7,2,23,29
27,27,7,2,24,28
28,26,7,2,23,29
27,27,7,2,23,29
28,26,7,2,24,28
27,25,7,2,23,29
28,26,7,2,23,29
27,25,7,2,22,28
28,24,7,2,23,27
