Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
28,24,9,4,21,28
13,19,9,4,10,23
12,20,9,4,9,24
13,21,9,4,10,25
14,22,9,4,9,26
15,23,9,4,10,25
14,24,9,4,11,24
15,25,9,4,12,23
14,26,9,4,11,24
13,27,9,4,12,25
14,28,9,4,13,24
15,29,9,4,14,23
14,28,9,4,13,24
13,29,9,4,12,25
13,29,9,4,11,26
13,29,9,4,12,25
14,28,9,4,11,26
13,29,9,4,12,27
12,28,9,4,11,28
11,29,9,4,12,27
11,29,9,4,13,26
12,28,9,4,14,25
11,29,9,4,15,24
12,28,9,4,14,25
13,27,9,4,15,24
14,26,9,4,14,25
15,25,9,4,15,24
14,26,9,4,16,23
15,27,9,4,17,24
16,28,9,4,18,23
17,29,9,4,19,22
17,29,9,4,18,23
16,28,9,4,19,22
17,29,9,4,18,23
16,28,9,4,17,24
17,29,9,4,18,25
16,28,9,4,19,24
17,27,9,4,20,25
18,26,9,4,19,26
19,27,9,4,18,27
20,26,9,4,17,26
19,25,9,4,18,25
20,24,9,4,19,24
21,23,9,4,18,25
22,22,9,4,19,26
21,23,9,4,20,25
22,22,9,4,21,24
23,21,9,4,22,23
22,22,9,4,23,24
23,21,9,4,24,23
24,20,9,4,23,24
25,19,9,4,22,25
26,20,9,4,23,24
27,21,9,4,22,25
26,22,9,4,21,26
25,23,9,4,22,25
26,22,9,4,21,26
27,23,9,4,22,27
28,24,9,4,21,28
