Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
27,13,15,3,29,4
13,9,11,6,11,4
12,10,10,6,12,3
11,11,11,6,13,4
12,12,10,7,14,3
11,13,11,6,15,2
12,14,10,7,16,3
13,13,10,6,17,2
14,14,10,7,18,3
13,15,10,8,19,4
14,16,10,9,20,3
15,15,10,8,21,2
16,14,10,7,22,3
17,13,9,7,23,4
18,12,9,6,24,3
19,11,9,5,25,2
20,10,10,5,26,1
19,11,11,5,25,2
20,10,12,5,24,3
19,11,12,4,23,4
18,12,12,3,24,3
17,13,12,4,25,4
18,14,12,3,24,5
19,13,12,2,25,4
20,14,13,2,24,5
21,15,14,2,23,6
20,14,14,1,22,7
21,13,15,1,23,6
22,12,15,0,24,5
23,13,15,1,25,4
24,12,15,0,24,5
25,13,14,0,25,6
26,14,14,1,26,5
25,15,15,1,27,4
26,14,15,2,28,3
27,13,15,3,29,4
