Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
28,22,21,13,24,25
7,11,21,13,14,25
8,12,21,13,15,24
9,13,21,13,14,25
10,14,21,13,13,26
11,15,21,13,14,27
12,14,21,13,15,26
13,15,21,13,16,27
14,14,21,13,17,26
15,15,21,13,16,27
14,16,21,13,15,28
13,17,21,13,14,29
14,16,21,13,13,28
15,15,21,13,14,27
16,14,21,13,15,26
17,13,21,13,16,27
18,14,21,13,17,28
19,13,21,13,16,29
20,12,21,13,16,29
19,13,21,13,17,28
20,14,21,13,18,27
19,15,21,13,17,28
20,16,21,13,18,27
21,15,21,13,19,26
22,14,21,13,20,25
23,15,21,13,19,26
24,16,21,13,18,27
25,17,21,13,19,28
26,18,21,13,20,29
25,19,21,13,21,28
26,20,21,13,22,27
27,21,21,13,23,26
28,22,21,13,24,25
