Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
29,19,11,18,21,28
19,15,11,18,19,18
18,16,11,18,18,19
17,17,11,18,17,20
18,16,11,18,18,19
17,17,11,18,19,20
18,18,11,18,18,21
17,19,11,18,17,22
18,18,11,18,18,21
19,19,11,18,17,22
20,18,11,18,18,21
21,19,11,18,17,22
22,20,11,18,16,23
23,21,11,18,17,24
24,20,11,18,18,23
23,21,11,18,19,22
24,22,11,18,20,21
25,21,11,18,21,22
24,22,11,18,20,23
25,21,11,18,21,22
26,20,11,18,20,23
27,19,11,18,21,24
28,20,11,18,20,25
27,21,11,18,21,24
28,20,11,18,20,25
27,19,11,18,21,26
28,18,11,18,20,27
27,19,11,18,21,28
28,18,11,18,22,27
29,19,11,18,21,28
