Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
22,22,20,6,29,8
9,15,20,6,24,7
10,16,20,6,23,8
11,15,20,6,24,9
12,16,20,6,23,10
13,15,20,6,24,9
14,16,20,6,23,10
15,15,20,6,24,11
14,16,20,6,25,10
15,15,20,6,24,11
16,16,20,6,25,12
17,17,20,6,24,13
18,16,20,6,25,14
17,17,20,6,24,15
18,18,20,6,23,16
17,19,20,6,22,17
16,20,20,6,23,16
17,19,20,6,22,17
16,20,20,6,21,18
17,21,20,6,22,17
18,22,20,6,23,18
17,23,20,6,24,17
16,24,20,6,25,16
17,25,20,6,24,17
18,24,20,6,25,16
19,25,20,6,26,15
20,24,20,6,27,14
21,25,20,6,28,13
20,24,20,6,27,12
19,25,20,6,28,11
20,24,20,6,27,10
21,25,20,6,28,9
20,24,20,6,27,8
21,23,20,6,28,7
22,22,20,6,29,8
