Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
17,25,8,2,28,18
9,23,4,5,11,5
10,22,4,6,10,6
11,21,5,6,11,5
10,22,5,5,10,6
11,23,6,5,9,7
10,24,6,4,10,6
11,23,6,3,9,7
12,24,6,4,10,6
13,25,7,4,11,5
12,26,6,4,12,4
11,27,7,4,13,5
10,28,7,3,14,4
9,29,8,3,15,3
9,29,9,3,16,2
8,28,10,2,17,1
9,27,10,1,18,2
8,28,10,0,17,3
9,29,10,0,16,4
8,28,9,0,15,5
7,29,8,0,16,4
6,28,8,1,15,5
7,27,7,1,16,4
8,26,6,1,15,5
9,27,5,1,16,6
10,28,5,0,15,7
11,27,5,0,16,8
12,28,6,0,17,7
13,29,7,0,18,6
12,28,6,0,19,7
13,29,6,1,20,8
13,29,6,0,21,9
12,28,6,1,20,10
13,29,7,1,21,11
12,28,7,2,22,12
11,29,8,2,23,13
11,29,9,2,24,14
12,28,8,2,23,15
13,27,8,1,24,16
14,26,8,2,25,15
15,25,8,3,26,16
16,24,7,2,25,17
15,25,7,1,26,16
16,24,7,2,25,17
17,25,6,2,26,18
18,26,7,2,27,17
17,25,8,2,28,18
