Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
19,19,12,29,12,11
11,7,12,29,8,3
12,8,12,29,9,4
11,9,12,29,8,5
10,10,12,29,7,6
11,11,12,29,6,7
12,10,12,29,7,8
13,11,12,29,8,7
14,10,12,29,9,8
15,9,12,29,8,9
14,10,12,29,9,8
15,11,12,29,8,9
16,10,12,29,9,8
17,9,12,29,10,7
18,10,12,29,11,6
17,11,12,29,12,5
18,12,12,29,11,6
19,11,12,29,10,7
18,12,12,29,9,8
19,13,12,29,8,9
20,14,12,29,7,10
19,15,12,29,8,9
18,16,12,29,9,8
17,17,12,29,10,9
16,18,12,29,11,8
17,19,12,29,10,9
16,20,12,29,9,10
17,21,12,29,10,9
18,20,12,29,11,10
19,19,12,29,12,11
