Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
29,22,11,11,9,11
25,14,10,8,5,1
24,15,11,8,6,2
23,16,11,9,7,1
24,15,12,9,8,2
23,16,12,10,7,3
22,17,12,9,8,2
21,18,12,10,9,1
22,19,11,10,10,2
21,20,10,10,11,1
22,21,9,10,10,2
23,20,10,10,9,3
22,21,11,10,10,4
21,22,10,10,11,3
22,21,11,10,12,2
21,22,10,10,11,3
22,23,11,10,12,4
23,24,10,10,11,5
24,23,11,10,10,6
25,22,10,10,9,7
24,23,10,9,8,8
25,22,10,10,7,9
26,23,11,10,8,10
25,22,11,11,7,11
26,21,11,12,8,12
27,20,10,12,9,11
28,21,11,11,8,12
27,22,11,10,9,13
26,21,11,11,8,12
27,22,12,11,7,13
26,21,12,12,8,12
25,22,11,12,9,11
26,21,10,12,8,12
27,22,10,11,9,11
28,21,10,10,8,12
29,22,11,11,9,11
