Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
29,23,14,15,24,14
11,21,14,15,5,1
12,22,14,15,6,2
13,21,14,15,7,3
14,20,14,15,8,2
15,19,14,15,9,1
16,20,14,15,8,2
15,21,14,15,7,3
16,20,14,15,8,2
17,21,14,15,9,1
18,22,14,15,10,2
19,21,14,15,9,3
18,22,14,15,10,2
17,23,14,15,11,3
18,22,14,15,10,4
19,21,14,15,11,5
18,22,14,15,10,6
19,23,14,15,11,5
20,24,14,15,12,4
19,25,14,15,13,3
20,26,14,15,14,4
19,27,14,15,13,5
20,26,14,15,14,4
19,27,14,15,15,5
18,28,14,15,16,6
19,27,14,15,17,5
18,28,14,15,18,4
19,27,14,15,19,5
20,26,14,15,18,6
21,27,14,15,17,7
20,28,14,15,18,8
21,29,14,15,19,7
21,29,14,15,20,6
22,28,14,15,19,7
23,27,14,15,20,8
24,26,14,15,21,7
23,27,14,15,22,8
22,28,14,15,23,7
23,27,14,15,24,8
24,26,14,15,25,9
25,25,14,15,26,10
26,24,14,15,25,11
27,23,14,15,24,12
28,22,14,15,25,13
29,23,14,15,24,14
