Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
28,10,21,23,4,29
17,7,19,16,4,21
18,8,19,15,5,20
19,9,20,15,6,19
20,8,21,15,7,18
21,9,21,16,8,19
22,8,21,15,9,20
21,9,21,16,8,21
22,8,20,16,7,22
21,9,19,16,8,23
22,8,19,17,9,22
21,9,20,17,10,21
22,8,21,17,11,20
23,7,21,18,10,21
22,8,20,18,9,22
21,9,19,18,10,23
22,8,19,19,9,24
23,7,18,19,10,25
22,8,17,19,9,26
21,9,17,20,8,27
20,10,17,21,9,28
21,9,18,21,8,29
20,10,18,22,7,28
19,11,18,23,8,29
20,10,18,22,7,28
21,9,18,21,6,29
22,8,17,21,6,29
21,9,17,22,5,28
22,8,17,23,4,29
21,9,16,23,5,28
22,8,17,23,6,27
23,9,18,23,7,26
24,8,19,23,6,27
23,9,20,23,5,28
24,8,21,23,4,29
25,7,21,22,5,28
26,8,21,23,4,29
27,9,21,24,5,28
28,10,21,23,4,29
