Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
28,13,23,1,29,23
15,2,23,1,14,26
16,3,23,1,13,27
17,4,23,1,14,28
18,3,23,1,15,27
17,4,23,1,16,26
18,5,23,1,17,25
19,6,23,1,18,24
18,7,23,1,17,25
17,8,23,1,18,24
18,9,23,1,19,23
17,10,23,1,20,22
18,9,23,1,19,23
19,10,23,1,20,24
20,9,23,1,19,25
21,8,23,1,18,26
22,9,23,1,17,27
23,8,23,1,18,26
22,9,23,1,19,25
21,10,23,1,20,26
20,11,23,1,19,27
21,10,23,1,20,26
22,9,23,1,21,27
21,10,23,1,22,26
20,11,23,1,23,25
21,12,23,1,24,24
22,11,23,1,25,23
23,10,23,1,26,22
24,9,23,1,27,21
25,8,23,1,26,22
26,7,23,1,27,21
27,8,23,1,28,22
26,9,23,1,27,23
27,10,23,1,28,24
28,9,23,1,27,23
27,10,23,1,26,24
28,11,23,1,27,23
27,12,23,1,28,22
28,13,23,1,29,23
