Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
29,8,17,28,26,23
17,8,17,28,10,7
18,7,17,28,9,8
19,6,17,28,8,9
20,7,17,28,9,10
21,6,17,28,10,11
20,7,17,28,11,10
21,6,17,28,10,11
22,5,17,28,11,10
23,4,17,28,12,9
24,3,17,28,11,10
25,2,17,28,10,11
24,3,17,28,11,10
23,4,17,28,10,11
24,5,17,28,11,10
23,6,17,28,10,11
22,7,17,28,11,12
23,6,17,28,12,13
22,7,17,28,13,12
23,6,17,28,14,13
24,5,17,28,13,14
23,6,17,28,12,15
24,7,17,28,11,16
23,8,17,28,12,17
24,9,17,28,13,18
23,10,17,28,14,19
24,9,17,28,15,18
25,8,17,28,14,19
26,7,17,28,15,20
25,8,17,28,16,21
24,9,17,28,15,22
25,10,17,28,16,23
26,9,17,28,17,22
27,8,17,28,18,23
28,7,17,28,19,24
27,6,17,28,18,25
28,5,17,28,19,24
27,4,17,28,20,25
26,5,17,28,21,24
27,6,17,28,22,23
26,7,17,28,23,22
27,8,17,28,24,23
26,7,17,28,25,24
27,8,17,28,26,23
28,7,17,28,27,22
29,8,17,28,26,23
