Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
28,11,24,12,15,28
18,17,24,12,8,19
17,18,24,12,9,20
18,19,24,12,10,19
17,20,24,12,11,20
18,19,24,12,12,21
19,20,24,12,13,20
20,19,24,12,12,21
19,20,24,12,13,22
20,19,24,12,14,21
19,18,24,12,13,22
20,17,24,12,12,23
21,16,24,12,11,24
22,15,24,12,12,25
23,14,24,12,13,26
24,13,24,12,14,27
25,12,24,12,13,28
24,13,24,12,12,29
25,12,24,12,13,28
26,11,24,12,14,29
25,12,24,12,14,29
26,11,24,12,15,28
25,12,24,12,16,29
26,13,24,12,15,28
27,12,24,12,16,27
28,11,24,12,15,28
