Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
20,28,23,25,23,25
18,24,23,25,13,15
19,23,23,25,14,16
18,24,23,25,13,17
19,23,23,25,12,18
18,24,23,25,13,17
19,23,23,25,12,18
20,22,23,25,11,19
21,21,23,25,12,18
20,22,23,25,13,19
21,23,23,25,14,20
20,24,23,25,15,21
19,25,23,25,16,22
18,26,23,25,15,23
19,25,23,25,16,22
18,26,23,25,15,23
19,27,23,25,16,22
20,28,23,25,15,23
21,27,23,25,16,24
20,28,23,25,15,25
21,27,23,25,16,26
22,28,23,25,15,27
23,29,23,25,16,26
22,28,23,25,17,27
23,29,23,25,18,28
22,28,23,25,19,27
23,27,23,25,20,26
22,28,23,25,21,27
21,29,23,25,22,26
20,28,23,25,23,25
