Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
8,28,10,26,29,13
7,29,10,26,9,11
7,29,10,26,10,10
8,28,10,26,9,11
9,27,10,26,10,10
8,28,10,26,11,11
9,29,10,26,12,10
8,28,10,26,11,11
9,29,10,26,12,10
9,29,10,26,13,9
8,28,10,26,14,8
7,29,10,26,15,9
7,29,10,26,16,8
6,28,10,26,17,7
5,29,10,26,16,8
4,28,10,26,17,7
3,29,10,26,18,6
3,29,10,26,19,5
3,29,10,26,18,6
2,28,10,26,19,7
3,29,10,26,20,6
2,28,10,26,19,7
1,29,10,26,20,8
1,29,10,26,19,9
2,28,10,26,20,10
3,29,10,26,21,11
2,28,10,26,22,10
1,29,10,26,23,9
1,29,10,26,24,10
2,28,10,26,25,11
1,29,10,26,24,12
2,28,10,26,25,11
3,27,10,26,26,12
2,28,10,26,27,11
3,27,10,26,28,12
2,28,10,26,27,11
3,27,10,26,28,10
4,28,10,26,27,11
5,27,10,26,28,10
6,26,10,26,27,11
5,27,10,26,26,12
6,28,10,26,27,13
7,27,10,26,26,14
6,28,10,26,25,15
7,29,10,26,26,14
6,28,10,26,27,13
5,29,10,26,28,14
6,28,10,26,27,13
7,29,10,26,28,12
8,28,10,26,29,13
