Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
29,11,2,29,11,23
15,7,2,29,19,11
16,8,2,29,18,12
17,7,2,29,17,13
16,8,2,29,16,12
15,9,2,29,15,13
16,8,2,29,14,14
17,9,2,29,15,13
18,10,2,29,14,14
19,9,2,29,15,13
20,10,2,29,14,14
21,9,2,29,15,13
22,8,2,29,16,12
21,9,2,29,15,13
20,10,2,29,16,14
21,11,2,29,15,15
22,12,2,29,14,16
23,11,2,29,15,15
22,12,2,29,14,16
23,11,2,29,13,17
24,10,2,29,12,18
25,11,2,29,11,19
26,10,2,29,10,20
27,11,2,29,11,21
26,12,2,29,10,22
27,11,2,29,9,23
28,10,2,29,10,24
29,11,2,29,11,23
