Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
25,15,9,9,29,29
5,7,9,0,18,24
6,8,9,1,17,25
5,9,10,1,16,26
6,10,10,2,17,27
7,11,9,2,16,28
8,10,10,2,17,27
9,9,9,2,16,28
10,8,8,2,17,27
9,9,8,3,18,26
10,8,7,3,17,27
9,9,7,2,18,26
8,10,8,2,19,25
9,9,8,3,20,26
8,10,9,3,21,27
9,9,9,4,22,28
10,8,8,4,23,29
11,7,9,5,22,28
10,8,9,4,23,27
11,7,10,3,22,28
12,6,10,4,21,29
13,5,10,5,20,28
14,4,10,6,19,29
13,5,10,5,18,28
12,6,9,5,17,29
11,7,9,4,18,28
12,6,8,4,19,27
13,7,8,3,18,28
12,8,9,3,19,29
13,7,8,3,18,28
14,8,9,3,19,27
15,9,10,3,20,28
16,8,9,3,21,29
17,9,10,3,21,29
16,10,10,4,21,29
17,11,10,5,20,28
18,10,11,5,21,29
19,11,11,6,22,28
20,10,12,6,21,29
21,11,12,7,20,28
22,12,13,7,21,29
23,11,14,7,20,28
24,10,14,6,19,29
23,11,14,5,18,28
24,10,15,5,19,29
23,11,14,5,19,29
24,10,13,5,18,28
23,11,13,6,19,27
24,10,14,6,20,26
25,9,14,7,19,27
26,8,13,7,20,26
25,9,13,8,21,25
24,10,14,8,20,26
25,9,14,7,19,27
24,10,14,6,20,26
25,11,13,6,21,27
26,10,14,6,22,28
27,9,13,6,23,27
28,8,13,5,24,28
27,7,14,5,25,27
26,8,13,5,24,28
25,9,13,6,25,27
24,10,13,7,24,28
23,11,13,6,25,27
22,12,12,6,24,28
21,13,12,7,25,29
22,12,11,7,26,28
23,13,10,8,27,27
24,14,10,9,28,28
25,15,9,9,29,29
