Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
25,16,2,7,29,16
10,11,2,7,4,9
9,12,2,7,5,10
10,13,2,7,6,9
11,14,2,7,5,10
12,13,2,7,6,9
13,12,2,7,7,8
12,13,2,7,6,9
13,12,2,7,7,10
14,11,2,7,8,9
15,12,2,7,9,10
16,13,2,7,10,11
17,12,2,7,11,12
18,11,2,7,12,13
19,10,2,7,13,12
20,11,2,7,14,13
21,10,2,7,15,12
20,11,2,7,16,11
21,12,2,7,15,12
20,13,2,7,16,11
19,14,2,7,17,10
18,15,2,7,18,11
19,14,2,7,19,12
20,15,2,7,20,13
19,16,2,7,21,12
20,15,2,7,22,11
19,16,2,7,23,12
20,15,2,7,24,13
21,16,2,7,23,14
20,17,2,7,24,13
21,16,2,7,25,12
22,15,2,7,26,13
23,16,2,7,27,14
22,17,2,7,26,15
23,18,2,7,27,14
24,17,2,7,28,13
23,18,2,7,27,14
24,17,2,7,28,15
25,16,2,7,29,16
