Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
29,16,25,17,21,14
15,14,25,17,7,8
14,15,25,17,6,9
15,16,25,17,7,10
16,17,25,17,6,11
17,16,25,17,5,12
18,17,25,17,6,13
19,18,25,17,5,14
20,19,25,17,6,15
21,18,25,17,7,14
20,19,25,17,8,13
19,20,25,17,9,12
20,19,25,17,10,13
19,20,25,17,9,14
20,19,25,17,10,15
21,20,25,17,11,14
22,19,25,17,12,13
23,18,25,17,13,12
24,17,25,17,14,11
23,18,25,17,15,12
24,17,25,17,16,11
25,16,25,17,17,10
26,15,25,17,18,11
27,14,25,17,19,10
28,15,25,17,18,11
27,16,25,17,19,12
28,15,25,17,20,13
29,16,25,17,21,14
