Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
14,28,8,5,21,23
2,28,8,5,21,9
3,27,8,5,22,8
4,26,8,5,21,9
5,25,8,5,20,10
6,26,8,5,21,9
7,25,8,5,20,10
8,24,8,5,19,11
9,23,8,5,20,10
8,24,8,5,21,9
9,25,8,5,22,10
10,24,8,5,21,11
9,25,8,5,22,12
10,26,8,5,21,13
11,27,8,5,22,12
12,28,8,5,21,13
13,27,8,5,20,14
12,28,8,5,21,13
13,29,8,5,20,14
12,28,8,5,21,13
11,29,8,5,22,12
10,28,8,5,21,13
11,27,8,5,20,14
12,26,8,5,21,15
13,27,8,5,20,16
14,28,8,5,19,17
13,29,8,5,20,18
14,28,8,5,19,17
13,29,8,5,20,16
14,28,8,5,19,17
15,29,8,5,18,18
14,28,8,5,17,19
13,29,8,5,18,20
14,28,8,5,17,21
15,29,8,5,18,22
16,28,8,5,19,23
15,29,8,5,18,24
15,29,8,5,19,25
14,28,8,5,18,26
15,29,8,5,19,25
15,29,8,5,20,24
14,28,8,5,21,23
