Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
10,27,25,17,25,24
10,21,25,17,3,8
9,22,25,17,4,9
10,21,25,17,5,10
11,20,25,17,6,9
10,21,25,17,7,8
11,22,25,17,8,7
10,21,25,17,9,8
9,22,25,17,10,7
10,21,25,17,9,8
11,20,25,17,8,9
10,21,25,17,9,10
9,22,25,17,10,9
10,23,25,17,11,10
9,24,25,17,12,11
8,25,25,17,13,12
7,26,25,17,14,13
8,27,25,17,15,12
7,28,25,17,16,11
8,29,25,17,15,12
8,29,25,17,16,13
7,28,25,17,15,12
8,29,25,17,16,11
7,28,25,17,15,12
8,27,25,17,14,13
9,28,25,17,15,14
8,29,25,17,16,15
9,28,25,17,17,16
10,29,25,17,18,17
11,28,25,17,17,18
10,29,25,17,18,19
10,29,25,17,19,18
9,28,25,17,20,17
10,29,25,17,21,16
9,28,25,17,22,17
8,29,25,17,23,16
7,28,25,17,22,17
6,29,25,17,21,18
5,28,25,17,20,19
6,27,25,17,21,20
7,28,25,17,22,21
8,27,25,17,21,22
7,28,25,17,20,23
8,27,25,17,21,22
9,26,25,17,22,21
10,25,25,17,23,22
11,26,25,17,24,21
12,25,25,17,25,20
11,26,25,17,26,21
10,27,25,17,27,20
11,28,25,17,28,19
10,29,25,17,27,20
9,28,25,17,26,21
10,29,25,17,27,22
11,28,25,17,28,21
10,29,25,17,27,20
9,28,25,17,26,21
10,27,25,17,25,22
9,28,25,17,26,21
10,29,25,17,25,22
9,28,25,17,26,23
10,27,25,17,27,22
9,28,25,17,26,23
10,27,25,17,25,24
