Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
20,12,17,3,27,17
12,8,17,3,15,7
13,9,17,3,16,6
12,10,17,3,17,5
13,9,17,3,18,4
14,8,17,3,17,5
13,9,17,3,18,4
14,8,17,3,17,5
13,9,17,3,18,4
14,10,17,3,19,3
15,11,17,3,20,2
16,10,17,3,19,3
15,11,17,3,20,4
14,12,17,3,21,3
13,13,17,3,22,4
14,12,17,3,21,5
13,13,17,3,20,6
14,12,17,3,21,7
13,13,17,3,22,6
14,14,17,3,21,7
15,13,17,3,20,8
16,12,17,3,21,9
17,13,17,3,22,10
16,14,17,3,23,9
15,15,17,3,24,8
16,14,17,3,25,9
15,15,17,3,26,10
16,14,17,3,27,11
17,13,17,3,28,12
18,12,17,3,27,13
17,13,17,3,26,14
18,14,17,3,27,15
19,13,17,3,26,14
18,14,17,3,25,15
19,13,17,3,26,14
20,12,17,3,25,15
19,13,17,3,26,16
20,12,17,3,27,17
