Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
16,23,8,12,21,29
6,9,8,12,20,26
5,10,8,12,19,27
6,9,8,12,18,28
5,10,8,12,17,29
6,11,8,12,16,28
7,12,8,12,17,27
6,13,8,12,18,26
5,14,8,12,19,27
6,15,8,12,20,28
5,16,8,12,19,29
6,17,8,12,19,29
5,18,8,12,19,29
4,19,8,12,19,29
5,18,8,12,20,28
6,17,8,12,21,29
5,18,8,12,22,28
6,19,8,12,23,27
7,18,8,12,24,26
8,19,8,12,23,27
9,18,8,12,22,28
10,19,8,12,21,29
11,20,8,12,22,28
12,19,8,12,21,29
13,20,8,12,22,28
12,21,8,12,23,27
13,20,8,12,22,28
12,21,8,12,21,29
13,22,8,12,22,28
14,23,8,12,21,29
15,22,8,12,20,28
16,23,8,12,21,29
