Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
14,28,9,2,29,10
16,22,4,0,13,16
15,23,5,0,14,17
16,22,6,0,15,16
15,23,7,0,16,15
14,24,8,0,17,14
13,25,9,0,16,15
12,26,9,1,17,14
13,25,10,1,18,13
14,26,10,2,19,14
15,25,11,2,20,13
16,26,11,1,19,14
15,27,10,1,20,15
16,26,11,1,21,14
17,27,11,2,22,13
18,28,11,3,21,14
19,29,12,3,22,13
18,28,13,3,23,12
19,29,13,2,24,11
18,28,13,1,23,12
17,29,12,0,24,11
16,28,11,0,25,10
17,27,11,1,26,11
16,28,10,1,27,10
15,29,9,1,26,11
14,28,10,1,27,10
13,29,9,1,28,9
14,28,9,2,29,10
