Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
28,23,12,2,15,28
23,6,12,2,4,17
24,5,12,2,5,16
23,6,12,2,6,17
22,7,12,2,7,18
23,6,12,2,6,19
24,5,12,2,5,20
25,4,12,2,6,19
24,5,12,2,7,20
25,4,12,2,6,21
26,5,12,2,7,22
25,6,12,2,6,23
26,5,12,2,7,22
25,6,12,2,8,23
24,7,12,2,9,24
25,6,12,2,8,25
26,7,12,2,9,24
25,8,12,2,10,23
24,9,12,2,11,22
23,10,12,2,12,21
22,11,12,2,13,22
21,12,12,2,12,23
20,13,12,2,11,24
21,14,12,2,12,23
20,15,12,2,13,24
21,14,12,2,14,23
22,15,12,2,13,24
23,16,12,2,12,25
22,17,12,2,11,26
23,16,12,2,10,27
22,17,12,2,11,26
23,16,12,2,10,27
24,15,12,2,9,28
23,16,12,2,10,27
22,17,12,2,9,28
23,18,12,2,10,29
22,19,12,2,11,28
23,20,12,2,12,27
24,19,12,2,13,28
25,20,12,2,12,29
24,21,12,2,11,28
23,22,12,2,12,29
24,23,12,2,13,28
25,24,12,2,14,27
26,23,12,2,13,28
27,22,12,2,14,29
28,23,12,2,15,28
