Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
29,8,27,23,19,29
16,5,27,23,11,27
17,6,27,23,12,26
18,7,27,23,13,27
19,8,27,23,12,28
20,7,27,23,13,27
21,6,27,23,14,28
20,7,27,23,15,29
19,8,27,23,15,29
20,7,27,23,15,29
21,6,27,23,14,28
22,7,27,23,15,27
23,6,27,23,16,28
22,7,27,23,17,27
23,8,27,23,18,28
22,9,27,23,17,29
23,8,27,23,16,28
22,9,27,23,17,29
23,8,27,23,18,28
24,7,27,23,19,27
23,8,27,23,20,28
24,7,27,23,21,29
25,6,27,23,22,28
26,5,27,23,21,29
25,6,27,23,20,28
26,7,27,23,19,29
25,8,27,23,19,29
26,7,27,23,18,28
25,8,27,23,19,27
26,9,27,23,18,28
27,8,27,23,19,27
28,7,27,23,20,28
29,8,27,23,19,29
