Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
26,7,19,8,19,23
6,5,19,8,11,21
7,4,19,8,10,22
6,5,19,8,9,23
7,6,19,8,10,22
8,5,19,8,9,23
9,4,19,8,8,24
10,3,19,8,9,23
11,2,19,8,10,22
12,3,19,8,11,21
13,4,19,8,10,22
14,3,19,8,11,21
15,2,19,8,10,22
14,3,19,8,11,23
15,2,19,8,10,24
16,3,19,8,11,23
15,4,19,8,12,22
14,5,19,8,13,21
15,6,19,8,14,22
16,7,19,8,13,23
17,8,19,8,12,24
18,7,19,8,13,23
19,6,19,8,12,24
20,5,19,8,13,23
19,6,19,8,14,22
20,7,19,8,15,21
21,6,19,8,14,22
20,7,19,8,15,21
21,6,19,8,14,22
22,7,19,8,15,21
21,8,19,8,14,22
22,7,19,8,15,23
23,6,19,8,14,24
22,7,19,8,15,25
23,6,19,8,16,24
24,7,19,8,17,23
25,6,19,8,18,22
26,7,19,8,19,21
25,8,19,8,20,20
26,7,19,8,19,21
27,6,19,8,20,22
26,7,19,8,19,23
