Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
17,21,2,0,28,27
8,20,2,0,19,28
8,21,2,0,20,29
9,20,2,0,21,28
8,19,2,0,22,27
7,19,2,0,21,28
7,20,2,0,22,27
8,19,2,0,21,28
9,19,2,0,22,27
9,20,2,0,21,28
8,21,2,0,22,27
9,20,2,0,23,28
9,20,2,0,22,29
9,21,2,0,22,29
8,20,2,0,22,29
9,21,2,0,22,29
9,21,2,0,22,29
9,22,2,0,22,29
9,22,2,0,22,29
9,23,2,0,23,28
10,23,2,0,22,29
9,23,2,0,21,28
8,22,2,0,22,29
9,23,2,0,21,28
10,22,2,0,22,27
11,23,2,0,21,28
12,22,2,0,22,29
13,21,2,0,22,29
14,20,2,0,21,28
14,21,2,0,22,27
15,22,2,0,23,26
16,21,2,0,22,27
17,22,2,0,23,28
17,22,2,0,24,27
17,23,2,0,25,26
16,22,2,0,26,27
17,21,2,0,27,28
17,21,2,0,28,27
