Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
25,5,15,22,29,7
12,10,15,22,8,4
11,11,15,22,7,5
12,10,15,22,8,6
13,9,15,22,7,7
14,8,15,22,8,6
15,7,15,22,9,5
16,6,15,22,10,6
15,7,15,22,11,5
16,6,15,22,12,4
17,5,15,22,13,3
16,6,15,22,12,4
17,5,15,22,13,3
16,6,15,22,12,4
17,5,15,22,13,3
18,6,15,22,14,2
19,5,15,22,15,3
20,4,15,22,14,4
21,5,15,22,15,3
20,6,15,22,14,4
19,7,15,22,15,5
20,6,15,22,16,4
21,5,15,22,17,3
20,6,15,22,18,2
21,5,15,22,19,3
20,6,15,22,20,2
19,7,15,22,21,1
20,6,15,22,22,0
21,7,15,22,23,1
20,8,15,22,24,2
21,7,15,22,25,3
22,6,15,22,26,4
23,7,15,22,27,5
24,6,15,22,28,6
25,5,15,22,29,7
