Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
23,28,22,14,29,27
8,27,22,14,20,22
9,26,22,14,21,23
8,27,22,14,20,24
9,28,22,14,21,25
10,27,22,14,22,26
11,28,22,14,21,27
12,29,22,14,22,26
13,28,22,14,23,25
14,29,22,14,24,24
13,28,22,14,25,25
12,29,22,14,26,24
11,28,22,14,27,23
10,29,22,14,26,24
11,28,22,14,27,23
10,29,22,14,26,24
10,29,22,14,25,25
9,28,22,14,24,26
10,27,22,14,23,27
11,26,22,14,24,28
12,27,22,14,25,29
13,28,22,14,26,28
14,29,22,14,27,27
13,28,22,14,26,28
14,27,22,14,25,29
15,28,22,14,24,28
14,29,22,14,23,29
15,28,22,14,24,28
16,27,22,14,23,29
17,28,22,14,23,29
18,29,22,14,24,28
17,28,22,14,25,27
16,29,22,14,24,28
15,28,22,14,23,29
16,27,22,14,22,28
17,26,22,14,21,29
18,27,22,14,20,28
19,26,22,14,21,27
20,25,22,14,22,28
21,24,22,14,21,29
22,25,22,14,21,29
23,24,22,14,21,29
24,25,22,14,21,29
23,26,22,14,20,28
24,27,22,14,19,29
25,28,22,14,18,28
24,29,22,14,19,27
23,28,22,14,20,26
22,29,22,14,21,27
22,29,22,14,22,28
23,28,22,14,23,27
24,27,22,14,24,26
23,28,22,14,25,27
22,29,22,14,26,28
23,28,22,14,27,27
24,29,22,14,28,28
24,29,22,14,27,29
23,28,22,14,27,29
24,27,22,14,26,28
23,28,22,14,27,27
24,29,22,14,28,26
23,28,22,14,27,27
24,27,22,14,28,26
23,28,22,14,27,25
22,29,22,14,28,24
23,28,22,14,27,25
24,29,22,14,28,26
23,28,22,14,29,27
