Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
28,1,16,7,21,27
16,1,16,7,13,23
15,2,16,7,12,24
16,1,16,7,13,23
17,0,16,7,12,24
18,1,16,7,13,23
19,2,16,7,12,24
20,1,16,7,11,25
21,0,16,7,12,24
21,0,16,7,13,23
21,0,16,7,14,22
20,1,16,7,13,23
21,0,16,7,12,24
21,0,16,7,13,25
21,0,16,7,12,26
22,1,16,7,13,25
23,2,16,7,14,26
22,3,16,7,15,27
23,2,16,7,14,28
24,1,16,7,15,27
25,2,16,7,14,28
26,1,16,7,15,29
25,2,16,7,16,28
26,3,16,7,17,29
27,2,16,7,17,29
28,3,16,7,17,29
27,4,16,7,18,28
26,5,16,7,17,29
27,4,16,7,18,28
28,3,16,7,19,27
27,2,16,7,20,26
28,1,16,7,21,27
