Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
28,23,28,5,11,6
16,13,28,5,1,0
17,12,28,5,1,0
18,13,28,5,2,1
19,12,28,5,1,2
20,13,28,5,2,1
19,14,28,5,3,0
20,15,28,5,2,1
21,16,28,5,1,2
20,17,28,5,2,1
21,16,28,5,3,0
22,15,28,5,3,0
21,16,28,5,2,1
22,17,28,5,1,2
23,16,28,5,2,1
24,15,28,5,3,2
23,16,28,5,2,3
24,15,28,5,3,4
23,16,28,5,4,3
22,17,28,5,5,4
23,18,28,5,4,5
24,17,28,5,5,4
25,16,28,5,6,5
26,17,28,5,5,6
25,16,28,5,4,7
24,17,28,5,5,6
23,18,28,5,4,7
24,19,28,5,5,6
25,20,28,5,6,5
24,21,28,5,7,4
25,22,28,5,8,5
26,23,28,5,7,6
27,22,28,5,8,5
26,23,28,5,9,4
27,22,28,5,10,5
28,23,28,5,11,6
