Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
25,28,16,3,14,22
9,22,16,3,4,0
10,21,16,3,3,1
9,22,16,3,2,2
10,21,16,3,3,3
11,20,16,3,4,2
12,21,16,3,5,3
13,20,16,3,6,4
12,21,16,3,7,3
13,22,16,3,8,4
12,23,16,3,9,5
13,24,16,3,8,6
14,25,16,3,9,7
15,24,16,3,10,6
16,25,16,3,11,7
17,24,16,3,12,8
16,25,16,3,11,9
17,24,16,3,12,10
16,25,16,3,11,11
15,26,16,3,12,10
16,25,16,3,13,9
17,26,16,3,14,8
16,27,16,3,15,9
17,28,16,3,14,10
18,27,16,3,15,11
19,26,16,3,14,12
20,27,16,3,13,13
19,28,16,3,12,14
18,29,16,3,11,15
19,28,16,3,10,16
20,27,16,3,9,17
21,28,16,3,10,16
20,29,16,3,9,17
21,28,16,3,10,16
22,29,16,3,11,15
21,28,16,3,10,16
22,29,16,3,11,17
21,28,16,3,12,16
20,29,16,3,13,17
20,29,16,3,12,18
21,28,16,3,11,19
22,27,16,3,12,20
23,28,16,3,11,21
24,29,16,3,12,22
24,29,16,3,13,23
25,28,16,3,14,22
