Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
29,17,2,21,23,18
10,2,2,21,14,11
11,1,2,21,13,12
12,0,2,21,12,13
13,1,2,21,13,12
12,2,2,21,12,13
13,1,2,21,13,12
12,2,2,21,14,11
13,3,2,21,13,12
14,4,2,21,14,11
15,5,2,21,15,10
16,4,2,21,16,9
17,5,2,21,15,10
16,6,2,21,14,11
15,7,2,21,13,12
14,8,2,21,14,13
15,9,2,21,15,14
14,10,2,21,14,15
15,9,2,21,15,14
16,10,2,21,16,13
17,11,2,21,15,14
18,10,2,21,16,13
19,11,2,21,17,14
20,12,2,21,18,13
19,13,2,21,19,12
20,12,2,21,20,13
21,11,2,21,21,12
20,12,2,21,22,11
21,13,2,21,21,12
20,14,2,21,20,13
19,15,2,21,21,14
20,16,2,21,20,15
21,15,2,21,21,14
22,16,2,21,20,15
21,17,2,21,21,14
22,18,2,21,22,13
23,19,2,21,23,12
24,20,2,21,22,13
25,19,2,21,23,12
26,20,2,21,22,13
25,21,2,21,23,14
26,20,2,21,22,15
27,19,2,21,23,14
28,18,2,21,24,15
27,17,2,21,25,16
28,16,2,21,24,17
29,17,2,21,23,18
