Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
8,25,6,10,28,13
2,27,6,10,10,25
1,28,6,10,9,26
2,29,6,10,10,27
1,28,6,10,11,26
2,29,6,10,10,27
1,28,6,10,11,26
2,29,6,10,10,27
3,28,6,10,11,26
2,29,6,10,12,27
3,28,6,10,13,26
2,29,6,10,14,27
3,28,6,10,13,26
4,27,6,10,14,25
5,28,6,10,15,26
4,29,6,10,14,25
3,28,6,10,15,24
4,29,6,10,16,23
3,28,6,10,17,22
2,29,6,10,18,21
2,29,6,10,19,20
1,28,6,10,20,19
2,29,6,10,21,20
1,28,6,10,22,19
2,29,6,10,21,20
2,29,6,10,20,21
2,29,6,10,19,22
2,29,6,10,20,21
3,28,6,10,19,22
4,29,6,10,20,21
3,28,6,10,21,20
4,29,6,10,22,19
3,28,6,10,23,18
4,27,6,10,24,17
5,28,6,10,25,16
6,29,6,10,26,15
5,28,6,10,27,14
6,27,6,10,26,15
7,26,6,10,27,14
8,25,6,10,28,13
