Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
27,27,28,23,18,15
8,26,28,23,7,4
9,25,28,23,6,5
10,26,28,23,7,6
11,25,28,23,8,5
10,26,28,23,7,6
11,27,28,23,8,7
12,26,28,23,9,8
13,27,28,23,8,9
14,26,28,23,9,10
15,27,28,23,8,11
16,28,28,23,9,10
17,27,28,23,10,9
18,26,28,23,9,10
17,27,28,23,10,11
18,26,28,23,9,12
17,27,28,23,10,11
18,26,28,23,11,12
19,27,28,23,12,11
20,26,28,23,13,10
19,27,28,23,14,9
18,28,28,23,15,8
19,29,28,23,14,9
20,28,28,23,15,8
21,29,28,23,14,9
20,28,28,23,15,10
21,29,28,23,16,11
22,28,28,23,15,12
21,29,28,23,14,13
20,28,28,23,15,12
21,27,28,23,14,13
22,28,28,23,15,14
23,29,28,23,16,13
24,28,28,23,15,14
25,27,28,23,14,15
26,26,28,23,15,14
25,27,28,23,16,13
26,26,28,23,17,14
27,25,28,23,16,13
28,24,28,23,17,12
27,23,28,23,18,11
26,24,28,23,17,12
25,25,28,23,18,13
26,26,28,23,19,14
25,27,28,23,20,13
26,26,28,23,19,14
27,27,28,23,18,15
