Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
28,28,28,6,18,28
11,15,28,6,12,24
10,16,28,6,13,23
11,15,28,6,12,24
12,16,28,6,13,23
13,15,28,6,14,22
12,16,28,6,13,23
13,15,28,6,14,22
14,14,28,6,13,23
15,15,28,6,14,22
14,16,28,6,15,21
13,17,28,6,16,20
14,16,28,6,17,19
15,15,28,6,16,20
16,16,28,6,17,21
17,17,28,6,18,20
16,18,28,6,17,21
17,19,28,6,18,20
18,20,28,6,17,21
17,21,28,6,16,22
16,22,28,6,15,23
17,21,28,6,16,24
18,20,28,6,17,25
17,21,28,6,18,26
16,22,28,6,19,27
17,21,28,6,20,26
16,22,28,6,21,25
17,21,28,6,22,26
18,22,28,6,23,25
19,23,28,6,22,26
20,22,28,6,21,27
21,23,28,6,20,28
20,24,28,6,19,29
21,23,28,6,18,28
22,22,28,6,19,29
23,23,28,6,20,28
24,24,28,6,19,29
25,25,28,6,18,28
26,24,28,6,19,29
27,25,28,6,19,29
28,24,28,6,20,28
27,25,28,6,19,29
26,26,28,6,20,28
27,27,28,6,19,29
26,26,28,6,18,28
25,27,28,6,17,29
24,28,28,6,16,28
25,29,28,6,17,29
26,28,28,6,18,28
27,27,28,6,19,29
28,26,28,6,18,28
27,27,28,6,19,29
26,26,28,6,18,28
27,27,28,6,19,27
28,28,28,6,18,28
