Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
28,27,19,20,24,20
13,28,14,14,8,28
14,29,13,14,9,27
13,28,13,13,10,26
14,29,12,13,11,27
14,29,12,14,12,28
13,28,12,13,11,29
14,29,11,13,12,28
14,29,11,14,13,29
13,28,11,15,14,28
12,29,10,15,13,29
13,28,11,15,13,29
14,27,12,15,12,28
15,28,11,15,13,29
16,27,11,14,14,28
17,26,12,14,13,29
16,27,13,14,14,28
15,28,12,14,15,27
14,29,13,14,14,28
13,28,13,15,13,29
14,27,13,14,12,28
15,26,13,15,13,27
16,25,14,15,14,28
17,26,14,16,15,27
18,27,14,17,14,28
19,28,13,17,13,29
20,29,13,18,14,28
19,28,12,18,15,27
20,27,12,19,16,26
19,28,12,20,17,25
18,29,11,21,18,24
17,28,11,22,19,23
18,29,12,22,18,24
17,28,13,22,17,23
18,27,13,21,18,24
19,26,14,21,17,23
20,25,15,21,18,22
21,24,15,22,19,23
20,25,16,22,20,22
19,26,17,22,19,23
20,25,17,23,18,24
21,24,16,24,17,23
22,25,15,23,18,22
23,26,16,23,19,21
22,27,16,22,20,20
23,28,17,22,19,21
24,27,17,21,18,22
23,28,16,20,19,21
24,27,16,19,20,22
25,28,16,20,21,21
26,29,16,19,22,20
25,28,17,19,21,21
24,29,16,19,22,20
25,28,17,19,23,19
26,27,17,18,22,20
27,26,17,19,23,21
28,25,18,19,24,20
27,26,18,20,23,21
28,27,19,20,24,20
