Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
15,19,24,15,19,28
2,12,24,15,16,17
3,11,24,15,17,16
2,12,24,15,18,17
3,11,24,15,19,18
4,12,24,15,20,19
5,13,24,15,21,20
6,14,24,15,22,21
7,13,24,15,21,22
8,12,24,15,20,23
7,13,24,15,21,24
6,14,24,15,22,23
7,15,24,15,21,24
6,16,24,15,20,25
7,15,24,15,21,24
6,16,24,15,20,25
7,15,24,15,21,24
6,16,24,15,22,23
7,15,24,15,21,24
8,14,24,15,22,25
9,15,24,15,23,26
8,16,24,15,22,27
9,15,24,15,23,28
10,14,24,15,24,27
11,13,24,15,23,28
12,14,24,15,22,29
13,15,24,15,21,28
14,14,24,15,22,27
15,15,24,15,21,28
14,16,24,15,22,27
15,17,24,15,21,28
14,18,24,15,20,29
15,19,24,15,19,28
