Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
27,19,16,4,14,29
2,6,16,4,5,28
3,5,16,4,6,27
4,6,16,4,7,28
5,7,16,4,8,27
6,8,16,4,9,28
7,7,16,4,10,29
8,8,16,4,11,28
9,7,16,4,12,29
10,6,16,4,13,28
11,5,16,4,14,29
10,6,16,4,14,29
9,7,16,4,15,28
10,8,16,4,14,29
11,9,16,4,13,28
12,8,16,4,12,29
13,9,16,4,12,29
14,8,16,4,13,28
15,9,16,4,12,29
14,10,16,4,13,28
15,9,16,4,14,29
16,10,16,4,14,29
17,9,16,4,14,29
16,10,16,4,14,29
17,9,16,4,14,29
18,8,16,4,13,28
19,9,16,4,12,29
18,10,16,4,12,29
19,11,16,4,13,28
20,12,16,4,14,27
21,11,16,4,13,28
20,12,16,4,14,27
21,13,16,4,13,28
22,14,16,4,12,29
23,15,16,4,12,29
24,14,16,4,11,28
25,13,16,4,12,27
26,14,16,4,13,26
27,15,16,4,12,27
26,16,16,4,13,26
25,17,16,4,14,27
24,18,16,4,15,28
25,19,16,4,16,29
24,20,16,4,15,28
25,19,16,4,16,27
26,18,16,4,15,28
27,19,16,4,14,29
