Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
24,28,16,9,29,12
19,23,16,9,19,2
20,24,16,9,20,3
21,23,16,9,21,2
22,22,16,9,22,1
23,23,16,9,23,0
24,22,16,9,23,0
23,23,16,9,23,0
22,24,16,9,24,1
23,23,16,9,25,2
22,24,16,9,24,3
23,23,16,9,25,2
22,24,16,9,26,1
21,25,16,9,27,0
22,26,16,9,26,1
23,27,16,9,25,2
22,28,16,9,26,1
23,29,16,9,25,2
22,28,16,9,24,3
23,27,16,9,23,4
22,28,16,9,24,5
21,29,16,9,23,6
20,28,16,9,24,7
21,27,16,9,23,8
22,26,16,9,24,7
23,27,16,9,25,8
24,26,16,9,26,9
25,25,16,9,27,10
24,26,16,9,28,11
25,27,16,9,27,10
26,26,16,9,28,9
25,27,16,9,27,8
26,28,16,9,26,9
25,29,16,9,27,10
26,28,16,9,28,9
25,29,16,9,27,10
24,28,16,9,28,9
23,29,16,9,27,10
22,28,16,9,26,11
23,29,16,9,27,10
23,29,16,9,28,11
24,28,16,9,29,12
