Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
25,18,20,23,28,7
19,12,14,23,20,5
18,13,13,23,19,6
19,12,14,23,20,5
20,13,13,23,19,6
19,14,14,23,20,5
20,15,15,23,21,6
19,16,16,23,20,7
20,17,17,23,19,8
19,18,17,24,20,7
18,19,16,24,21,8
19,18,16,25,22,7
20,17,17,25,21,8
19,18,17,24,22,7
20,19,17,25,21,8
19,20,18,25,22,7
20,21,18,24,23,8
21,20,18,25,24,9
22,21,18,24,23,10
21,22,17,24,24,9
22,21,17,23,25,10
23,20,18,23,26,11
22,21,19,23,27,10
23,20,20,23,26,9
22,21,21,23,27,10
23,20,21,22,26,9
24,19,20,22,27,8
25,18,20,23,28,7
