Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
8,26,17,13,28,18
5,21,17,13,15,3
4,22,17,13,16,4
5,21,17,13,15,5
4,22,17,13,16,6
5,23,17,13,15,7
6,24,17,13,14,8
5,25,17,13,15,9
4,26,17,13,14,10
5,25,17,13,15,11
4,26,17,13,16,12
3,25,17,13,15,13
4,24,17,13,14,14
5,23,17,13,15,13
4,24,17,13,16,14
3,25,17,13,17,15
4,24,17,13,18,16
5,23,17,13,19,15
6,22,17,13,20,16
5,23,17,13,21,15
4,24,17,13,22,14
3,25,17,13,23,13
4,24,17,13,24,14
5,25,17,13,25,15
6,24,17,13,24,16
7,25,17,13,25,15
6,26,17,13,26,16
7,25,17,13,27,17
8,26,17,13,28,18
