Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
17,20,20,23,29,28
9,0,20,23,14,17
9,0,20,23,15,16
9,0,20,23,16,17
9,0,20,23,15,18
8,1,20,23,16,19
9,2,20,23,15,20
8,3,20,23,16,19
9,4,20,23,17,18
8,5,20,23,18,17
9,6,20,23,19,18
10,5,20,23,20,19
11,6,20,23,21,20
12,7,20,23,22,19
11,8,20,23,23,20
12,9,20,23,24,21
11,10,20,23,25,20
10,11,20,23,24,21
11,12,20,23,23,22
12,13,20,23,24,23
13,12,20,23,25,24
14,13,20,23,26,23
15,14,20,23,27,22
14,15,20,23,26,23
15,16,20,23,25,24
16,17,20,23,26,25
17,18,20,23,27,26
18,19,20,23,28,25
17,20,20,23,27,26
16,21,20,23,28,27
17,20,20,23,29,28
